Faculdade,Turmas,Disciplina,Q11,Q12,Q13,Q14,Q15,Q26,Q27,Q28,Q29,Q210,Q211,Q212,Q213,Q314,Q315,Q316,Q41,Q42,Q43,Q44,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,4,4,4,4,4
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
FEM,2017,ELEMENTOS DE MAQUINAS II,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,4,4,4,4
FECOMP,2018,ELETRONICA ANALOGICA,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,3,4,2
FECOMP,2018,ELETRONICA ANALOGICA,4,4,4,4,4,4,4,2,3,2,2,3,2,4,4,4,2,3,4,3,3,4,3,3,3,4,3,1
FECOMP,2020,ELETRONICA DIGITAL,3,2,1,4,3,4,4,1,1,1,2,2,2,3,3,1,3,3,3,2,1,3,2,3,2,2,3,2
FECOMP,2020,ELETRONICA DIGITAL,1,2,1,2,4,3,2,1,1,1,2,1,1,3,3,2,2,1,2,1,3,3,4,4,3,4,4,1
FECOMP,2020,ELETRONICA DIGITAL,1,1,2,4,4,2,2,2,2,1,4,3,2,4,4,4,1,3,3,3,4,4,3,2,2,3,2,1
FECOMP,2020,ELETRONICA DIGITAL,2,3,2,4,4,4,4,1,1,1,2,2,2,2,2,2,2,3,4,4,2,4,3,4,4,4,4,2
FECOMP,2020,ELETRONICA DIGITAL,1,2,1,2,3,4,4,1,1,1,1,1,2,2,2,2,1,1,1,3,2,2,4,4,4,4,3,2
FECOMP,2020,ELETRONICA DIGITAL,1,1,1,2,4,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,2,3,3,4,4,1
FECOMP,2017,ELETRONICA DIGITAL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
FEM,2018,ELETROTECNICA,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3
FEM,2018,ELETROTECNICA,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,2,2,2,4,3,4,4,4
FEM,2017,ENGENHARIA AMBIENTAL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,4,4
FEM,2017,ENGENHARIA AMBIENTAL,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,4,4,4,3,2,1,3,3,3,2,3
FEM,2017,ENGENHARIA AMBIENTAL,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,1,3,4,4,4,4,4,3,4,4,3,4,3
FEM,2017,ENGENHARIA AMBIENTAL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4
FEM,2017,ENGENHARIA AMBIENTAL,2,2,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
FEM,2017,ENGENHARIA AMBIENTAL,3,2,3,4,4,3,2,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3
FAESA,2020,ESTATISTICA,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,2,3,4,4,3,4,3
FAESA,2020,ESTATISTICA,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,4,4,3,3,1,3,4,3,3,2
FAESA,2020,ESTATISTICA,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,2,3,4,3,4,2,3,3,4,4,2
FEM,2020,ESTATISTICA APLICADA,4,4,3,4,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4
FEM,2020,ESTATISTICA APLICADA,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,4,4,3
FEM,2020,ESTATISTICA APLICADA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
